City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
4,Manbij,SY,84.97,36.5281,37.9549,Manbej City Hotel
6,Kapaa,US,84.52,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Roma,US,78.94,43.2128,-75.4557,Wingate By Wyndham Rome
14,Butaritari,KI,83.23,3.0707,172.7902,Isles Sunset Lodge
16,Sao Filipe,CV,75.0,14.8961,-24.4956,Hotel Xaguate
19,Hilo,US,79.25,19.7297,-155.09,Hilo Hawaiian Hotel
20,Celestun,MX,85.59,20.8667,-90.4,Posada Lilia
32,Ixtapa,MX,85.23,20.7,-105.2,Hotel Plaza Providencia
34,Faanui,PF,79.25,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Porto De Moz,BR,78.3,-1.7483,-52.2383,Dormitório labelle
40,Taloqan,AF,78.24,36.7361,69.5345,Saraisang street
41,Bonthe,SL,76.82,7.5264,-12.505,Bonthe Holiday Village
45,Puerto Ayora,EC,78.76,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Bud,US,80.58,39.447,-86.1758,Ted McQuinn Trust
55,Thompson,CA,86.16,55.7435,-97.8558,Burntwood Hotel
58,Westport,US,77.18,41.1415,-73.3579,The Westport Inn
64,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
74,Kahului,US,83.14,20.8947,-156.47,Maui Seaside Hotel
81,Lastoursville,GA,76.95,-0.8143,12.7287,Auberge Bon Coin 02
84,Buala,SB,79.84,-8.145,159.5921,Maringe Lagoon Lodge
93,Alta Floresta,BR,82.17,-9.8756,-56.0861,Floresta Amazonica Hotel
97,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
98,Norsup,VU,75.61,-16.0667,167.3833,Nabelchel Bungalows
99,Estelle,US,84.25,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
100,Judayta,JO,80.71,32.4079,35.708,Argan AJloun B&B
101,Bandarbeyla,SO,77.43,9.4942,50.8122,JABIR HOTEL
103,San Cristobal,VE,77.18,7.7669,-72.225,Posada Villaven C.A.
105,Cayenne,GF,82.44,4.9333,-52.3333,Hôtel Le Dronmi
111,Salalah,OM,78.89,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
118,Puerto Colombia,CO,84.29,10.9878,-74.9547,Hotel El Emigrante
119,Kitaibaraki,JP,85.14,36.7833,140.75,Isohara Seaside Hotel
121,Atuona,PF,77.41,-9.8,-139.0333,Villa Enata
122,Pattani,TH,80.31,6.75,100.4167,Tobias Kleeberg
125,Bambanglipuro,ID,75.15,-7.95,110.2833,Puri Brata
128,Manokwari,ID,78.17,-0.8667,134.0833,Swiss Belhotel Manokwari
131,Tezu,IN,76.06,27.9167,96.1667,Circuit House
134,Iracoubo,GF,79.56,5.4802,-53.2011,Le Gîte d’Iracoubo
136,Smithers,CA,75.52,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
138,Hithadhoo,MV,81.63,-0.6,73.0833,Scoop Guest House
139,Matara,LK,78.33,5.9485,80.5353,Amaloh Boutique Resort
141,Takoradi,GH,76.57,4.8845,-1.7554,Raybow International Hotel
142,Pallasovka,RU,77.2,50.05,46.8833,"Hotel ""Natalia"""
143,Bethel,US,75.69,41.3712,-73.414,Courtyard by Marriott Danbury
152,Esna,EG,87.82,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
154,Bom Jesus,BR,78.33,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
156,Kirakira,SB,78.57,-10.4544,161.9205,SanBiz Lodge
161,Broome,US,75.9,42.2506,-75.833,Chenango Valley State Park
164,Ruston,US,87.49,32.5232,-92.6379,"Country Inn & Suites by Radisson, Ruston, LA"
167,Freeport,US,79.38,40.6576,-73.5832,The Freeport Inn and Marina
168,Bubaque,GW,79.75,11.2833,-15.8333,"Casa Dora, Bubaque"
176,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
178,Smoky Lake,CA,77.16,54.1169,-112.4686,Country Garden Hotel
181,Alexandria,EG,80.56,31.2156,29.9553,Royal Crown Hotel
182,Mitsamiouli,KM,75.2,-11.3847,43.2844,Foyer ADM
183,Acarau,BR,77.79,-2.8856,-40.12,castelo pizzaria
192,Xinyu,CN,77.05,27.8043,114.9334,Xinyu Beihu Hotel
199,Maues,BR,78.62,-3.3836,-57.7186,Hotel Miramar
204,Tanabe,JP,80.92,33.7333,135.3667,美吉屋旅館
206,Sao Gabriel Da Cachoeira,BR,80.55,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
207,Manali,IN,84.29,13.1667,80.2667,Sarathy Lodge
211,Akdepe,TM,80.69,42.0551,59.3788,Мой дом
216,Banda Aceh,ID,79.77,5.5577,95.3222,Sulthan Hotel International
220,Porbandar,IN,81.36,21.6422,69.6093,Lords Inn Porbandar
223,Cabedelo,BR,75.87,-6.9811,-34.8339,Hotel Pigalle
226,Padang,ID,76.48,-0.9492,100.3543,Mercure Padang
227,Gat,IL,87.4,31.61,34.7642,OlusHome
229,Bengkulu,ID,75.42,-3.8004,102.2655,Grage Hotel Bengkulu
230,Labuhan,ID,75.56,-6.8844,112.2051,PT PPI Lamongan Tambak C
234,Moussoro,TD,84.25,13.6408,16.4901,Pharmacie alnadja Moussoro
239,Gouyave,GD,83.17,12.1646,-61.7296,Rumboat Retreat
245,Victoria,HK,83.32,22.2855,114.1577,Mini Hotel Central
247,Dingle,PH,79.27,10.9995,122.6711,SEGAYA PROPERTY
248,Albufeira,PT,78.64,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
251,Namie,JP,84.96,37.4833,141.0,いこいの村なみえ
258,Kaseda,JP,81.63,31.4167,130.3167,Sun Stay Kaseda
260,Vanderhoof,CA,84.99,54.0166,-124.0198,Vanderhoof Inn
262,Tura,IN,75.51,25.5198,90.2201,Hotel RIKMAN Continental
265,Guiratinga,BR,77.31,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
270,Praya,CV,75.74,14.9215,-23.5087,LT Aparthotel
274,Polis,CY,80.42,35.0367,32.4264,Marion
277,Sulphur,US,87.78,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
278,Gushikawa,JP,81.63,26.3544,127.8686,Kirari Guest House
283,Kavieng,PG,82.56,-2.5744,150.7967,Nusa Island Retreat
284,Azua,DO,83.19,18.4532,-70.7349,Cabañas Sexy Home
290,Sur,OM,88.39,22.5667,59.5289,Sur Plaza Hotel
292,Puerto Escondido,MX,86.83,15.85,-97.0667,Aldea del Bazar Hotel and Spa
299,Sioux Lookout,CA,86.38,50.1001,-91.917,Knobby's Fly-In Camps
301,Atar,MR,89.31,20.5169,-13.0499,Oumou Elghoura
302,Axim,GH,76.8,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
303,Camargo,MX,81.07,27.6667,-105.1667,Hotel Santa Fe
306,Hasaki,JP,81.28,35.7333,140.8333,Hotel Sunrise Choshi
310,Douentza,ML,82.18,14.9951,-2.9517,Ogomono Doumbo
313,Griffith,US,82.22,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
318,Dicabisagan,PH,83.07,17.0818,122.4157,Nancy Montanes Bernardo
320,Weligama,LK,78.53,5.9667,80.4167,Weligama Bay Resort
321,Sorong,ID,79.88,-0.8833,131.25,waigo splash hotel
324,Port Angeles,US,84.58,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
326,Rock Sound,BS,82.98,24.9,-76.2,Rock Sound Club
328,Bhadrachalam,IN,80.83,17.6667,80.8833,Hotel Srinidhi Residency
330,Shimoda,JP,81.14,34.6667,138.95,Shimoda Tokyu Hotel
331,San Lawrenz,MT,82.85,36.0553,14.204,San Andrea Hotel
333,Buchanan,LR,76.96,5.8808,-10.0467,Kamaneahn Hotel Inc
350,Shizunai,JP,76.84,42.3339,142.3669,Shizunai Eclipse Hotel
360,Namatanai,PG,81.01,-3.6667,152.4333,Seagulls Inn Namatani
361,Kamaishi,JP,80.96,39.2667,141.8833,Hotel Route Inn Kamaishi
363,Puerto Suarez,BO,79.16,-18.95,-57.8,Hotel casa real
364,Mayo,US,79.9,38.8876,-76.5119,Resorts Resource Group International
365,Tautira,PF,84.22,-17.7333,-149.15,Pension Oaoa
367,Natal,BR,75.42,-5.795,-35.2094,Villa Park Hotel | Natal
374,Tharad,IN,83.01,24.3961,71.6267,Shree Nandan Couriyar Service
376,Van Buren,US,87.82,35.4368,-94.3483,Hampton Inn Van Buren
381,Pochutla,MX,87.82,15.7432,-96.4661,Hotel Posada San Jose
382,Fairview,US,78.48,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
383,Sola,VU,77.85,-13.8833,167.55,Leumerus Bungalows
387,La Ronge,CA,75.45,55.1001,-105.2842,Northland Motor Hotel
390,Kerch,UA,79.05,45.3583,36.4758,Khostel
393,Makakilo City,US,84.52,21.3469,-158.0858,Marriott's Ko Olina Beach Club
398,Katsuura,JP,84.31,35.1333,140.3,Katsuura Hotel Mikazuki
400,Damghan,IR,78.22,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
404,Clinton,US,81.05,42.587,-82.9199,Hampton Inn Detroit/Roseville
405,Valdosta,US,84.29,30.8327,-83.2785,Courtyard by Marriott Valdosta
407,Ouargaye,BF,79.45,11.5033,0.0572,Résidence le Cotonnier
412,Point Pleasant,US,79.05,40.0832,-74.0682,Point Pleasant Manor
413,Gangapur,IN,77.77,26.4833,76.7167,OYO 45271 Hotel Haveli
429,Tecolutla,MX,89.46,20.4833,-97.0167,Hotel Plaza Marsol
430,Galle,LK,79.03,6.0367,80.217,Amangalla
432,Chiang Khong,TH,75.52,20.2613,100.4046,Chiangkhong Green Inn Resident
434,Benidorm,ES,80.58,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
436,Lorengau,PG,82.72,-2.0226,147.2712,Lorengau Harbourside Hotel
439,Chenghai,CN,80.51,23.4632,116.768,Guangdong Hotel
442,Fereydun Kenar,IR,80.74,36.6864,52.5225,Khezer Shahr Tourist Hotel
443,Sibolga,ID,75.54,1.7427,98.7792,Hotel Syariah CN Darussalam
446,Jacareacanga,BR,83.34,-6.2222,-57.7528,Casa do Ian😎
447,Urucara,BR,78.12,-2.5364,-57.76,Pousada Maria Bonita
451,Wilmington,US,78.85,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
453,Sari,IR,77.22,36.5633,53.0601,Tajan Inn
455,Khash,IR,78.46,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
456,Marsh Harbour,BS,83.28,26.5412,-77.0636,Abaco Beach Resort
458,Laurel,US,80.42,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
459,Boca Do Acre,BR,79.3,-8.7522,-67.3978,Hotel Sao Pedro
460,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
465,Vilhena,BR,82.62,-12.7406,-60.1458,Hotel Mirage
468,Sterling,US,81.46,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
469,Pilot Butte,CA,82.02,50.4668,-104.4178,Sleep Inn Regina East
472,Pitimbu,BR,75.79,-7.4706,-34.8086,Reserva do Abiaí
480,Ankang,CN,75.67,32.68,109.0172,安琪酒店
482,Fukue,JP,82.02,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
488,Umm Lajj,SA,88.27,25.0213,37.2685,Moon light Furnished Units
489,Irmo,US,80.26,34.086,-81.1832,Hilton Garden Inn Columbia/Harbison
490,Whitecourt,CA,81.64,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
492,Port Blair,IN,81.93,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
494,Lansing,US,80.65,42.7325,-84.5555,Quality Inn University
495,Chaman,PK,76.96,30.9236,66.4512,Niamat parda Center chaman
497,Prachuap Khiri Khan,TH,76.26,12.2167,99.75,สมบัติยาย
502,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
508,Buraydah,SA,86.45,26.326,43.975,فندق راحة السلام
509,Mormugao,IN,78.62,15.4,73.8,Coconut Creek Resort
513,Meulaboh,ID,75.33,4.1363,96.1285,Kost Pria
516,Kumi,KR,78.48,36.1136,128.336,Metro Hotel
517,Kudahuvadhoo,MV,81.95,2.6708,72.8944,Niyama Private Islands Maldives
518,Lhokseumawe,ID,76.91,5.1801,97.1507,OYO 3278 Penginapan Alfajri
519,Cumra,TR,77.14,37.5732,32.7745,Catalhoyuk Hotel
520,Whitewater,US,80.73,42.8336,-88.7323,Baymont by Wyndham Whitewater
521,Castellammare Del Golfo,IT,88.95,38.0188,12.8858,Cerri Hotel
528,Road Town,VG,84.24,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
529,Novoshakhtinsk,RU,78.24,47.7604,39.9334,Raduga
532,Kavaratti,IN,81.84,10.5669,72.642,Hotels in Lakshadweep Islands
537,Koroni,GR,89.08,36.8,21.95,Apartments Xenios Zeus 1
539,Harper,LR,76.87,4.375,-7.7169,Screensaver
540,Balikpapan,ID,77.99,-1.2675,116.8289,ibis Balikpapan
541,Itoman,JP,82.42,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
544,Veraval,IN,81.48,20.9,70.3667,Lords Inn Somnath
549,Athabasca,CA,76.82,54.7169,-113.2854,Athabasca Lodge Motel
550,Trairi,BR,77.77,-3.2778,-39.2689,janelas do mar
552,Vairao,PF,80.69,-17.7833,-149.2833,Hotu Natura B&B
553,Phangnga,TH,82.9,8.4509,98.5298,Sunimit Mansion
